"Site_ID","ObjectID","GlobalID","CreationDate","Creator","EditDate","Editor","Date/Time of Collection","Sample ID","Name","Phone/email","Address","Location of Sample","Other(specify) - Location of Sample","Other (exact location)","Sample Area","x","y","editor notes","Sample","Average"
"PB.10600NSutterAve.1",43,"29862bb9-938d-4f7a-85e7-c0f162da5035","3/19/2022 19:10",NA,"3/19/2022 19:10",NA,"3/19/2022 19:09",NA,NA,NA,"10600N sutter ave Pacoima Ca 91331","other","Airport parkway",NA,"Area_4",-118.197391,34.06588001,NA,NA,NA
"PB.4.10600NSutter.1",44,"4302fee9-8fee-438f-838f-0f2f1d96292d","3/19/2022 19:12",NA,"3/19/2022 19:12",NA,"3/19/2022 19:11",NA,NA,NA,"10600 N sutter ave 91331 Pacoima ca","other","Parkway","Fence line","Area_4",-118.4176474,34.26424753,NA,NA,NA
"PB.4.10600NSutter.2",45,"a0df911c-dd78-4f81-8776-069979885209","3/19/2022 19:13",NA,"3/19/2022 19:13",NA,"3/19/2022 19:13",NA,NA,NA,"10600 N sutter ave Pacoima Ca 91331","other","Parkway","Fence line","Area_4",-118.4185111,34.26351282,NA,NA,NA
"PB.4.10600Nsutter.3",46,"3e79189f-cddd-4e5b-8efb-9fbcfd8b3c54","3/19/2022 19:14",NA,"3/19/2022 19:14",NA,"3/19/2022 19:14",NA,NA,NA,"10600 N sutter ave Pacoima ca 91331","other","Parkway","Fence line","Area_4",-118.418382,34.26385574,NA,NA,NA
"PB.4.10652SutterAve.1",1,"67d5b4cb-6d63-486e-86c8-c91482ddc55e","2/19/2022 18:26",NA,"2/19/2022 18:26",NA,"2/19/2022 18:19",NA,NA,NA,"10652 Sutter Avenue, Pacoima, CA","other","Parkway","By fire hydrant (right)","Area_4",-118.4182174,34.2637885,NA,NA,NA
"PB.4.10652SutterAve.2",2,"7928b93f-fb08-4f78-8669-343436775da4","2/19/2022 18:32",NA,"2/19/2022 18:32",NA,"2/19/2022 18:30",NA,NA,NA,"10652 Sutter Ave. Pacoima, CA 91331","other","Parkway","By fire hydrant ( left)","Area_4",-118.418226,34.2638,NA,NA,NA
"PB.4.10652SutterAve.3",3,"460ab76c-db20-4fdb-8e4f-f3806c671d21","2/19/2022 18:38",NA,"2/19/2022 18:38",NA,"2/19/2022 18:36",NA,NA,NA,"10652 Sutter Ave. Pacoima, CA 91331","other","Parkway","Parkway front of enterance","Area_4",-118.418267,34.263835,NA,NA,NA
"PB.4.13070CarlSt443.1",56,"9dfa0461-6de5-4cd5-8e2f-38b2d4f1f251","4/2/2022 0:00",NA,"4/2/2022 0:00",NA,"4/2/2022 0:00",NA,NA,NA,"13070 Carl St Unit 443 Pacoima Ca 91331","other","Parkway",NA,"Area_4",-118.4171179,34.26778484,"lat long alignment",NA,NA
"PB.4.13070CarlSt443.2",57,"a73ba969-8266-4a5c-802d-8ba62fc58636","4/2/2022 0:00",NA,"4/2/2022 0:00",NA,"4/2/2022 0:00",NA,NA,NA,"13070 Carl St Unit 443 Pacoima Ca 91331","other","Parkway",NA,"Area_4",-118.4171309,34.26779215,"lat long alignment",NA,NA
"PB.4.13070CarlSt443.3",58,"a3b6991d-3795-45b8-831f-fbb0c7b8e347","4/2/2022 0:00",NA,"4/2/2022 0:00",NA,"4/2/2022 0:00",NA,NA,NA,"13070 Carl St Unit 443 Pacoima Ca 91331","other","Parkway",NA,"Area_4",-118.417319,34.2679775,"lat long alignment",NA,NA
"PB.4.DavidMGonzalezPark.1",16,"17591ebe-7468-4022-86cd-fb7852b060ea","2/19/2022 20:31",NA,"2/19/2022 20:31",NA,"2/19/2022 20:29",NA,NA,NA,"David M. Gonzalez Park 10943 Herrick Ave. Pacoima, CA 91331","other","Park strip of land",NA,"Area_4",-118.4133674,34.26794531,NA,NA,NA
"PB.4.DavidMGonzalezPark.2",13,"1ddfc01d-6764-4d72-8e25-66830d048909","2/19/2022 20:25",NA,"2/19/2022 20:25",NA,"2/19/2022 20:23",NA,NA,NA,"David M. Gonzalez Park 10943 Herrick Ave. Pacoima, CA 91331","other","Park strip of land",NA,"Area_4",-118.197391,34.06588001,"lat long alignment",NA,NA
"PB.4.DavidMGonzalezPark.3",15,"6612f1a1-b065-4e5d-8484-c9ec4c81c47e","2/19/2022 20:29",NA,"2/19/2022 20:29",NA,"2/19/2022 20:26",NA,NA,NA,"David M. Gonzalez Park 10943 Herrick Ave. Pacoima, CA 91331","other","Park strip of land","Park strip of land","Area_4",-118.4132021,34.26785205,NA,NA,NA
